"Govindarajoo, Geeta",3.59
"Jimenez, Leslie",3.25
"Boikess, Robert",2.73
"Rabeony, Manese",4.08
"Roychowdhury, Lipika",3.46
"Pramanik, Sanhita",3.4
"Hove, Emmanuel",2.92
"Khurana, Vandana",3.79
"Abeywickrama, Chandima",3.18
"Braunstein, Erik",3.5
"Vargas, Charlie",3.65
"Sangari, Harpal",3.78
"Guerra, Francesca",3.39
"Sahni, Seema",3.88
"Dey, Gangotri",3.71
"Orbe, Paul",4.05
"Langowski, Bryan",4.11
"Kornienko, Anna",3.5
"Porcja, Robert",4.09
"Drwiega, Thomas",4.0
"Kimmel, Paul",3.27
"Hijazi, Hussein",3.76
"Fadeeva, Tatiana",3.44
"Manjikian, Raffi",4.25
"York, Darrin",4.03
"Sethi, Kiranjot",3.7
"Shankar, Nirmala",4.19
"Vitarelli, Michael",3.99
"Patel, Shivani",4.02
"Williams, Milton",4.22
"Patra, Leena",3.48
"Meshkati, Aria",4.57
"Chen, Tracy",4.07
"Allen, Rachel",4.04
"Inamdar, Neelay",4.51
"Patel, Riddhi",3.93
"Pecoraro, Matthew",4.18
"Sadeghipour, Mitra",3.5
"Roth, Heinz",3.03
"Ghosal, Anima",3.42
"Kukrek, Ahmet",3.79
"Warmuth, Ralf",3.86
"Zhang, Hongmei",3.03
"O'Connor, Patrick",4.06
"Altinis, Christine",3.99
"Taylor, John",4.06
"Williams, Lawrence",4.2
"Hinch, Barbara",2.92
"Hall, Gene",3.42
"Shin, Yeunggyo",2.09
"Emenike, Mary",4.32
"Lee, Jeehiun",4.33
"Shi, Zheng",3.96
"Arnold, Edward",4.27
"Halder, Jayati",3.43
"Muniz, Marc",4.43
"Slomko, Danielle",3.93
"Le, Kim-Phuong",3.57
"Cullerton, Denise",3.82
"Dismukes, Gerard",2.76
"Asefa, Tewodros",4.16
"Greenblatt, Martha",2.39
"Li, Jing",3.82
"Waldie, Kate",4.18
"Ebright, Richard",4.31
"Lipke, Mark",4.16
Remsing Richard,4.3
"Shin, Yeung-Gyo",3.44
"Vargas, Cecilia",3.9
"Bandyopadhyay, Rajoshree",3.36
"Maranhao, Jack",4.14
"Bassolino, Donna",3.07
"Urakath, Rijo",4.4
"Khadr, Arwa",4.19
"Zhang, Jianyuan",3.21
"Nieuwkoop, Andrew",3.74
"O'Carroll, Deirdre",3.83
"Case, David",4.31
"Kimmel, Jane",3.08
"Foroughiasl, Sara",3.88
"Bean, Brynn",4.31
"Jorgensen, Qi",3.97
"Mummidi Manuraj, Bhavani Nandhini",4.21
"Baker, John",3.54
"Jones, Taro",4.07
"Lee, Tai-Sung",4.43
"Khare, Sagar",4.08
"Brennan, John",4.32
"Marvasti, Setareh",3.7
"Lee, Joon",4.24
"Knapp, Spencer",3.26
"Narayanan, Buvaneswari",4.03
"Gu, Yuwei",4.36
"Arnold, Eddy",3.4
"Sousa, Maria",3.63
"Lee, KiBum",4.39
"Goldman, Alan",4.23
"Izgu, Enver",3.63
"Khan, Rohan",4.18
"Young, Steven",4.23
"Remsing, Rick",4.58
"Khan, Sara",3.89
"Lee, Ki Bum",4.19
"Depaolo, Patrick",3.76
"Gbolade, Omolade",4.23
"Rivera Rios, Jean",4.19
