"Olabisi, Ronke",3.77
"Hacihaliloglu, Ilker",4.0
"Shoane, George",2.61
"Parekkadan, Biju",3.77
"Labazzo, Kristen",4.33
"Pierce, Mark",4.2
"Berthiaume, Francois",3.94
"Shreiber, David",3.83
"Drzewiecki, Gary",3.3
"Sy, Jay",3.66
"Li, John",4.09
"Craelius, William",1.55
"Langrana, Noshir",3.9
"Cai, Li",3.89
"Gormley, Adam",4.36
"Zahn, Jeffrey",4.23
"Buettner, Helen",3.9
"Murray, Karen",4.36
"Tomassone, Maria",4.12
"Androulakis, Ioannis",3.55
"Chiew, Yee",3.88
"Schuster, Benjamin",3.85
"Zhang, Haoran",3.99
"Bertuccio, Alex",3.83
"Ramachandran, Rohit",3.88
"Celik, Fuat",3.89
"Nassif, Hani",3.84
"Brenner, Alfred",4.55
"Yong, Yook-Kong",3.33
"Mazurek, Monica",3.51
"Fahrenfeld, Nicole",4.18
"Gong, Jie",4.1
"Arafa, Mohamed",3.59
"Moon, Franklin",4.39
"Miskewitz, Robert",3.83
Jin Jing,3.89
"Maher, Ali",3.75
"Godrich, Hana",4.17
"Mammone, Richard",4.01
"Caggiano, Michael",3.95
"Petropulu, Athina",2.79
"Burdea, Grigore",3.62
"Orfanidis, Sophocles",3.89
"Sarwate, Anand",4.02
"Javanmard, Mehdi",3.93
Sehajpal Sumati,3.28
McGarvey John,4.15
"Gajic, Zoran",3.46
"Pompili, Dario",3.23
"Trappe, Wade",4.4
"Chen, Yingying",4.26
"Hassan, Umer",4.18
"Spasojevic, Predrag",3.07
"Bajwa, Waheed Uz Zaman",4.22
Striki Maria,4.21
"Marsic, Ivan",2.73
"Lindqvist, Janne",2.97
"Najafizadeh, Laleh",4.0
"Dana, Kristin",4.1
"Yuan, Bo",4.22
Wu Chung-Tse,3.76
"Soljanin, Emina",2.85
"Ortiz, Jorge",3.25
"Southard, Phillip",3.99
"Brown, Philip",4.0
"Antoine, Jean Patrick",4.12
"Denda, Mitsunori",3.55
"Scacchioli, Annalisa",3.69
"Cook Chennault, Kimberly",3.88
"Bottega, William",3.47
"Matlock, Thomas",4.51
"Bennett, Harold",3.73
"Rhee, Won-Jong",2.76
"Golden, Martin",4.17
"Santos, Patricia",4.19
"Schmitz, Guido",4.09
"Rosenberg, Eric",3.16
"Guo, Weihong",3.97
"Wicks, Elin",4.52
"Xi, Zhimin",3.81
"Jafari, Mohsen",3.41
"Albin, Susan",4.35
"Ozel, Tugrul",2.64
"Elsayed, E",3.28
"Fabris, Laura",4.17
"Safari, Ahmad",3.77
"Riman, Richard",2.81
"Klein, Lisa",4.26
"Garofalini, Stephen",3.52
"Lehman, Richard",3.64
"Goel, Ashutosh",4.11
"Horvath, Robert",4.44
"Akdogan, Enver",4.3
"Wenzel, John",4.16
"Birnie, Dunbar",4.19
"Tsakalakos, Thomas",3.59
"Haber, Richard",4.39
"Demauro, Edward",4.01
"Pasi, Siddika",3.75
"Weng, George",2.97
"Bagchi, Prosenjit",4.16
"Mazzeo, Aaron",3.66
"Gu, Xi",3.99
"Lin, Hao",3.85
"Gea, Hae",3.33
"Yi, Jingang",3.32
"Zou, Qingze",3.2
"Singer, Jonathan",3.99
"Burlion, Laurent",3.85
"Baruh, Haim",3.85
"Benaroya, Haym",4.14
"Muller, Michael",4.03
"Mookerjee, Purusottam",3.7
"Bilgen, Onur",2.85
"Guo, Zhixiong",3.05
"Guo, Yuebin",3.87
"Jaluria, Yogesh",3.95
"Knight, Doyle",3.7
"Lee, Howon",3.41
"Pelegri, Assimina",3.88
"Tse, Stephen",4.11
"Rossi, Todd",3.49
"Tutwiler, Valerie",3.38
"Helfgott, Dayna",4.06
"Muzzio, Fernando",3.68
"Wang, Ruoqian",3.17
"Balaguru, Perumalsamy",4.11
"Najm, Husam",4.43
"Jin, Jing",3.35
"Mcgarvey, John",4.02
"Wei, Sheng",4.15
"El Rouayheb, Salim",3.36
"Aliari Zonouz, Saman",3.84
"Lu, Yicheng",3.35
"Sehajpal, Sumati",3.76
Ortiz Jorge,3.75
"Striki, Maria",3.53
"Jha, Shantenu",3.57
"Wu, Chung-Tse",4.06
"Scott, Kimberly",4.17
Brown Philip,3.81
"Higgins, Kathryn",4.24
"Cuitino, Alberto",3.13
"Lynch, Jennifer",3.2
"Zhang, Yuqian",2.79
"Ezzat Ahmed, Ahmed Aziz",4.44
"Pham, Hoang",4.13
"Gursoy, Melike",3.3
"Ghofrani, Ali",4.2
"Mann, Adrian",3.75
"Norris, Andrew",3.56
"Shan, Jerry",3.87
"Drazer, German",3.69
"Malhotra, Rajiv",3.77
"Bai, Xiaoli",4.16
"Diez Garias, Francisco",3.67
"Mayer, Valerie",3.61
"Vazquez, Maribel",4.24
"Robbins, Jason",3.22
"Dignon, Gregory",4.35
"Liu, Meiyin",2.96
"Liu, Xiang",4.23
"Haghani, Sasan",3.93
"Liu, Yao",4.01
"Burbano Lombana, Daniel",3.29
"Jalali, Shirin",3.93
"Bajwa, Waheed U.",3.99
"Pepe, Russell",3.62
"Garrido, Luis",4.11
"Ramanathan, Shriram",4.34
"Reagan, Randall",4.0
"Ezzat Ahmed, Aziz",4.44
"Mercurio, Steven",4.45
"Matthewson, John",4.52
"Sills, Ryan",4.3
"Gurvich, Mark",3.31
"Kyker-Snowman, Kelly",3.87
"Chundawat, Shishir",4.06
"Guo, Ashley",4.42
"Shapley, Nina",4.21
"Ogunkanmi, Anuoluwa",2.64
"Demetracopoulou, Vassiliki",3.92
"Abu-Obeidah, Adi Salman",4.03
"Lateef, Omer",4.01
"Kruger, Dov",2.4
"Raghunandan, Krishnamurthy",3.79
"Liu, Hang",4.37
"Zhang, Zhao",4.17
"Chung, Taerin",4.24
"Guirguis, Caroline",2.77
"Hubler, Jesse",4.13
"Reagan, Randy",3.95
"Yousefian, Farzad",4.19
"Reihani, Amin",4.07
"Shinbrot, Troy",2.56
"Roth, Charles",3.63
"Maikos, Jason",4.36
"Boustany, Nada",3.47
"Freeman, Joseph",4.02
"Hara, Masanori",3.83
"Neimark, Alexander",3.94
"Wang, Hao",3.68
"Gucunski, Nenad",3.2
"Christoforou, Chris",4.04
"Guo, Qizhong",3.73
"Lifrieri, Joseph",4.34
"Kliger, Howard",3.68
"Wu, Tong",2.43
"Mandayam, Narayan",4.46
"Frenkiel, Richard",4.33
"Mohammad, Tayyaba",2.58
"Raychaudhuri, Dipankar",3.83
"Diaz-Munoz, Milton",3.72
"Beskin, Anna",4.09
"Mozael, Mustafa",3.48
"Pinchiaroli, Michael",4.44
"Jeong, Myong-Kee",4.03
"Gilbert, Douglas",4.28
"Akdogan, Enver Koray",4.23
"Matthewson, Michael",4.35
"Saxena, Lakshmendra",4.33
"Kotelnikov, Alexei",4.22
"Farokh, Pedram",3.46
"Singh, Jeevanjot",4.22
"Nikolopoulos, Efthymios",4.04
"Yang, Guosong",3.05
"Liu, Xufei",3.82
"DeMauro, Edward",4.1
"Pedersen, Henrik",3.44
"Hildebrandt, Diane",4.04
"Oathes, Tyler",4.36
"Al-Adhami, Hiba",3.94
"Li, Yalin",3.6
"Bletsas, Aggelos",4.33
"Barillas, Katie",3.81
"Miller, Christopher",4.15
"Elsayed, Elsayed",3.87
"Coit, David",3.34
"Mercurio Jr, Steven",4.15
"Saini, Rajan",3.89
"Vlassis, Nikolaos Napoleon",3.43
"Berg, Steven",3.9
