01:750:109,Astronomy&cosmology,3.93
01:750:115,Extended Analytic I,3.96
01:750:123,Analytical Physics I,4.21
01:750:161,Elements Of Physics,3.26
01:750:193,Physics For Sciences,4.46
01:750:202,Extended Gen Physics,4.42
01:750:203,General Physics,4.03
01:750:204,General Physics,4.08
01:750:205,General Physics Lab,4.0
01:750:206,General Physics Lab,4.11
01:750:227,Analyt Physics II,3.78
01:750:229,Anal Phys II Lab,4.08
01:750:271,Honors Physics I,3.72
01:750:273,Honors Physics III,3.6
01:750:275,Classical Phys Lab I,3.89
01:750:305,Modern Optics,3.67
01:750:323,Adv General Phy I,4.1
01:750:326,Computer-Based Exper,3.85
01:750:341,Principles Astrophys,4.3
01:750:381,Mechanics,3.76
01:750:385,Electromagnetism,4.1
01:750:387,Exp Modern Physics,4.0
01:750:444,Intro To Cosmology,4.14
01:750:451,Physical Oceanograph,4.17
01:750:464,Mathematical Physics,3.49
01:750:110,Astronomy & Cosmology,4.15
01:750:313,Modern Physics,3.47
01:750:345,Computational Astrophysics,4.34
01:750:361,Quantum & Atomic Phy,4.05
01:750:368,Junior Seminar,4.16
01:750:418,Nuclei And Particles,4.55
01:750:442,High Energy Astrophysics And Radiative  Processes,3.89
01:750:228,Analytical Physics Iib,3.75
01:750:230,Analytical Physics II Laboratory,4.05
01:750:155,Introduction To Research And Research Communities In Physics & Astronomy,4.13
01:750:106,Concepts Of Physics,3.33
01:750:116,Extended Analytic I,4.25
01:750:124,Analytical Physics I,4.23
01:750:140,Greenhouse Effect,4.41
01:750:194,Physics For The Sciences,4.46
01:750:201,Extended Gen Physics,4.34
01:750:272,Honors Physics II,3.94
01:750:276,Classical Physics Lab II,2.83
01:750:301,Physics Of Sound,2.04
01:750:324,Advanced General Physics II,3.38
01:750:327,Mod Instrumentation,4.46
01:750:342,Principles Astrophys,4.23
01:750:346,Observational Astronomy,4.26
01:750:351,Thermal Physics,3.94
01:750:382,Mechanics,4.0
01:750:386,Electromagnetism,4.38
01:750:388,Exp Modern Physics,3.68
01:750:397,Phys Of Mod Devices,3.94
01:750:417,Intermed Quantum,3.84
01:750:421,Introduction To Quantum Computing,4.29
01:750:441,Stars & Star Formation,4.47
01:750:406,Intro Sol State Phys,2.61
01:750:443,Galaxies & Milky Way,4.06
01:750:488,Special Topics In Physics,3.87
